elapsed_s,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb
409.578,0,0,22824,46068
410.603,1,0,22824,46068
411.631,0,0,22826,46068
412.659,0,0,22828,46068
413.709,1,0,22830,46068
414.759,1,0,22832,46068
415.790,0,0,22832,46068
416.838,0,0,22834,46068
418.004,0,0,22836,46068
419.033,0,0,22836,46068
420.059,0,0,22838,46068
421.084,0,0,22838,46068
422.115,0,0,22838,46068
423.141,0,0,22838,46068
424.168,0,0,22838,46068
425.194,0,0,22838,46068
426.220,0,0,22838,46068
427.245,0,0,22838,46068
428.272,0,0,22838,46068
429.298,0,0,22838,46068
430.324,0,0,22838,46068
431.350,0,0,22838,46068
432.377,0,0,22838,46068
433.402,0,0,22838,46068
434.428,0,0,22838,46068
435.455,0,0,22838,46068
436.480,0,0,22838,46068
437.508,0,0,22838,46068
438.534,0,0,22838,46068
439.560,0,0,22838,46068
440.586,0,0,22838,46068
441.611,0,0,22838,46068
442.637,0,0,22838,46068
443.663,0,0,22838,46068
444.689,0,0,22838,46068
445.714,0,0,22838,46068
446.741,0,0,22838,46068
447.768,0,0,22838,46068
448.800,0,0,22838,46068
449.827,0,0,22838,46068
450.853,0,0,22838,46068
451.879,0,0,22838,46068
452.906,0,0,22838,46068
453.932,0,0,22838,46068
454.958,0,0,22838,46068
455.988,0,0,22838,46068
457.014,0,0,22838,46068
458.041,0,0,22838,46068
459.067,0,0,22838,46068
460.093,0,0,22838,46068
461.120,0,0,22838,46068
462.144,0,0,22838,46068
463.174,0,0,22838,46068
464.201,0,0,22838,46068
465.228,0,0,22838,46068
466.254,0,0,22838,46068
467.280,0,0,22838,46068
468.307,0,0,22838,46068
469.334,0,0,22838,46068
470.360,0,0,22838,46068
471.386,0,0,22838,46068
472.414,0,0,22838,46068
473.441,0,0,22838,46068
474.468,0,0,22838,46068
475.495,0,0,22838,46068
476.521,0,0,22838,46068
477.547,0,0,22838,46068
478.575,0,0,22838,46068
479.623,0,0,22838,46068
480.649,0,0,22838,46068
481.675,0,0,22838,46068
482.704,0,0,22838,46068
483.732,0,0,22838,46068
484.760,0,0,22838,46068
485.786,0,0,22838,46068
486.812,0,0,22838,46068
487.840,0,0,22838,46068
488.866,0,0,22838,46068
489.893,0,0,22838,46068
490.919,0,0,22838,46068
491.946,0,0,22838,46068
492.971,0,0,22838,46068
493.997,0,0,22838,46068
495.025,0,0,22838,46068
496.052,0,0,22838,46068
497.079,0,0,22838,46068
498.105,0,0,22838,46068
499.132,0,0,22838,46068
500.159,0,0,22838,46068
501.185,0,0,22838,46068
502.211,0,0,22838,46068
503.237,0,0,22838,46068
504.265,0,0,22838,46068
505.293,0,0,22838,46068
506.321,0,0,22838,46068
507.347,0,0,22838,46068
508.374,0,0,22838,46068
509.401,0,0,22838,46068
510.429,0,0,22838,46068
511.456,0,0,22838,46068
512.483,0,0,22838,46068
513.510,0,0,22838,46068
514.537,0,0,22838,46068
515.565,0,0,22838,46068
516.592,0,0,22838,46068
517.620,0,0,22838,46068
518.648,0,0,22838,46068
519.673,0,0,22838,46068
520.700,0,0,22838,46068
521.727,0,0,22838,46068
522.754,0,0,22838,46068
523.782,0,0,22838,46068
524.808,0,0,22838,46068
525.836,0,0,22838,46068
526.863,0,0,22838,46068
527.893,0,0,22838,46068
528.920,0,0,22838,46068
529.949,0,0,22838,46068
530.975,0,0,22838,46068
532.002,0,0,22838,46068
533.029,0,0,22838,46068
534.057,0,0,22838,46068
535.083,0,0,22838,46068
536.110,0,0,22838,46068
537.272,0,0,22838,46068
538.298,0,0,22838,46068
